setting_i,setting_j,mean_diff,p_adj,significant
80-256,80-8192,-0.23199999999999976,0.13147134077294131,False
80-256,120-1024,-0.07600000000000007,1.0,False
80-256,120-2048,0.050000000000000266,1.0,False
80-256,120-4096,-0.22399999999999975,0.3502411945504258,False
80-256,120-8192,-0.1379999999999999,1.0,False
80-512,80-1024,-0.03200000000000003,1.0,False
80-512,80-2048,-0.15799999999999992,1.0,False
80-512,80-4096,-0.17399999999999993,1.0,False
80-512,80-8192,-0.18599999999999994,0.9747498336137111,False
80-512,120-1024,-0.03000000000000025,1.0,False
80-512,120-2048,0.09600000000000009,1.0,False
80-512,120-4096,-0.17799999999999994,1.0,False
80-512,120-8192,-0.09200000000000008,1.0,False
80-1024,80-2048,-0.1259999999999999,1.0,False
80-1024,80-4096,-0.1419999999999999,1.0,False
80-1024,80-8192,-0.15399999999999991,1.0,False
80-1024,120-1024,0.0019999999999997797,1.0,False
80-1024,120-2048,0.1280000000000001,1.0,False
80-1024,120-4096,-0.1459999999999999,1.0,False
80-1024,120-8192,-0.06000000000000005,1.0,False
80-2048,80-4096,-0.016000000000000014,1.0,False
80-2048,80-8192,-0.028000000000000025,1.0,False
80-2048,120-1024,0.12799999999999967,1.0,False
80-2048,120-2048,0.254,0.029736887335903215,True
80-2048,120-4096,-0.020000000000000018,1.0,False
80-2048,120-8192,0.06599999999999984,1.0,False
80-4096,80-8192,-0.01200000000000001,1.0,False
80-4096,120-1024,0.14399999999999968,1.0,False
80-4096,120-2048,0.27,0.04953402263335229,True
80-4096,120-4096,-0.0040000000000000036,1.0,False
80-4096,120-8192,0.08199999999999985,1.0,False
80-8192,120-1024,0.1559999999999997,1.0,False
80-8192,120-2048,0.28200000000000003,0.007548415417147795,True
80-8192,120-4096,0.008000000000000007,1.0,False
80-8192,120-8192,0.09399999999999986,1.0,False
120-1024,120-2048,0.12600000000000033,1.0,False
120-1024,120-4096,-0.1479999999999997,1.0,False
120-1024,120-8192,-0.06199999999999983,1.0,False
120-2048,120-4096,-0.274,0.025723312381602397,True
120-2048,120-8192,-0.18800000000000017,1.0,False
120-4096,120-8192,0.08599999999999985,1.0,False
